t,x(t),z(t),v_x(t),v_z(t),a_x(t),a_z(t) (added)
4.039997,10.49366,-3.064916,0.2092831,-2.283252,-1.443316,-0.2298056
4.059997,10.49743,-3.110634,0.1886046,-2.285882,-1.433389,-0.09286229
4.079997,10.50079,-3.156365,0.1680738,-2.286554,-1.424524,0.04431447
4.099997,10.50374,-3.20207,0.1476755,-2.285266,-1.416722,0.1813215
4.119997,10.50629,-3.24771,0.1273945,-2.282022,-1.409982,0.3177563
4.139997,10.50843,-3.293247,0.1072155,-2.276829,-1.404304,0.4532203
4.159997,10.51017,-3.33864,0.08712342,-2.269703,-1.399685,0.5873253
4.179997,10.51152,-3.383853,0.06710302,-2.260663,-1.396126,0.719694
4.199997,10.51246,-3.428848,0.04713921,-2.249735,-1.393624,0.8499627
4.219997,10.513,-3.473586,0.02721682,-2.236948,-1.392179,0.9777848
4.239997,10.51315,-3.518032,0.007320758,-2.22234,-1.391794,1.102835
4.259997,10.51289,-3.56215,-0.01256414,-2.205949,-1.392466,1.224809
4.279997,10.51224,-3.605906,-0.03245295,-2.187821,-1.394194,1.343427
4.299997,10.5112,-3.649265,-0.05236078,-2.168003,-1.396977,1.458434
4.319997,10.50975,-3.692195,-0.07230269,-2.146547,-1.400816,1.569602
4.339997,10.5079,-3.734664,-0.09229375,-2.12351,-1.405715,1.676731
4.359997,10.50565,-3.776642,-0.1123491,-2.098949,-1.411668,1.779651
4.379997,10.503,-3.818099,-0.1324838,-2.072924,-1.418679,1.878218
4.399997,10.49995,-3.859008,-0.1527129,-2.0455,-1.426749,1.972317
4.419997,10.49649,-3.899341,-0.1730514,-2.016738,-1.435876,2.061864
4.439997,10.49261,-3.939074,-0.1935147,-1.986706,-1.446062,2.146797
4.459997,10.48833,-3.978182,-0.2141176,-1.955469,-1.457306,2.227087
4.479997,10.48363,-4.016642,-0.2348752,-1.923094,-1.469612,2.302726
4.499997,10.47852,-4.054433,-0.2558026,-1.889648,-1.482976,2.373732
4.519997,10.47298,-4.091536,-0.2769151,-1.855197,-1.497398,2.440147
4.539997,10.46701,-4.12793,-0.2982275,-1.819807,-1.512879,2.502032
4.559997,10.46062,-4.163599,-0.319755,-1.783543,-1.529418,2.55947
4.579997,10.45378,-4.198527,-0.3415127,-1.746469,-1.547012,2.612558
4.599997,10.44651,-4.232698,-0.3635156,-1.708648,-1.565662,2.661413
4.619997,10.4388,-4.266099,-0.3857785,-1.670138,-1.585364,2.706164
4.639997,10.43063,-4.298717,-0.4083165,-1.631001,-1.606112,2.746953
4.659997,10.422,-4.330541,-0.4311445,-1.591293,-1.627904,2.783933
4.679996,10.41292,-4.36156,-0.4542774,-1.551067,-1.650734,2.817265
4.699996,10.40336,-4.391766,-0.4777296,-1.510377,-1.674596,2.847118
4.719996,10.39333,-4.421149,-0.5015162,-1.469272,-1.699481,2.873666
4.739996,10.38282,-4.449703,-0.5256515,-1.427799,-1.72538,2.897088
4.759996,10.37181,-4.477421,-0.5501499,-1.386004,-1.752282,2.917566
4.779996,10.36031,-4.504298,-0.5750255,-1.343929,-1.780174,2.935281
4.799996,10.3483,-4.530328,-0.6002926,-1.301612,-1.809038,2.950418
4.819996,10.33578,-4.555508,-0.6259647,-1.259091,-1.838861,2.963158
4.839996,10.32274,-4.579834,-0.6520556,-1.2164,-1.869618,2.973682
4.859996,10.30917,-4.603303,-0.6785784,-1.173571,-1.901289,2.982168
4.879996,10.29505,-4.625914,-0.7055462,-1.130633,-1.933848,2.98879
4.899996,10.28039,-4.647664,-0.7329714,-1.087613,-1.967264,2.993718
4.919996,10.26517,-4.668552,-0.760866,-1.044535,-2.001504,2.997118
4.939996,10.24939,-4.688578,-0.7892419,-1.00142,-2.036531,2.99915
4.959996,10.23302,-4.707742,-0.81811,-0.9582893,-2.072304,2.999968
4.979996,10.21607,-4.726043,-0.8474811,-0.9151588,-2.108776,2.99972
4.999996,10.19852,-4.743482,-0.8773646,-0.8720441,-2.145895,2.99855
